line,i,j,length_met,number,is_stop
L03911,10360,10347,140.00000059604645,0,1
L03911,10347,10338,50.00000074505806,1,0
L03911,10338,10342,100.00000149011612,2,0
L03911,10342,10325,649.9999761581421,3,0
L03911,10325,10340,270.00001072883606,4,0
L03911,10340,10339,59.99999865889549,5,0
L03911,10339,10341,100.00000149011612,6,0
L03911,10341,10334,419.99998688697815,7,1
L03911,10334,10433,159.9999964237213,8,0
L03911,10433,10326,70.00000029802322,9,1
L03911,10326,10331,230.00000417232513,10,0
L03911,10331,13249,109.99999940395355,11,1
L03911,13249,13248,180.00000715255737,12,0
L03911,13248,13246,360.00001430511475,13,0
L03911,13246,13243,79.99999821186066,14,1
L03911,13243,13247,500.0,15,0
L03911,13247,13242,189.9999976158142,16,1
L03911,13242,13254,349.9999940395355,17,1
L03911,13254,13294,259.99999046325684,18,1
L03911,13294,13253,230.00000417232513,19,0
L03911,13253,13260,519.9999809265137,20,1
L03911,13260,13262,159.9999964237213,21,1
L03911,13262,13269,109.99999940395355,22,0
L03911,13269,13267,349.9999940395355,23,0
L03911,13267,13268,59.99999865889549,24,0
L03911,13268,13270,180.00000715255737,25,1
L03911,13270,13271,560.0000023841858,26,0
L03911,13271,12018,389.99998569488525,27,1
L03911,12018,12074,159.9999964237213,28,1
L03911,12074,12027,579.9999833106995,29,1
L03911,12027,12026,59.99999865889549,30,1
L03911,12026,12017,280.0000011920929,31,0
L03911,12017,12086,79.99999821186066,32,1
L03911,12086,12013,50.00000074505806,33,1
L03911,12013,12003,720.0000286102295,34,1
L03911,12003,12004,129.99999523162842,35,1
L03911,12004,12001,600.0000238418579,36,0
