i,j,length_met,mode,num_lanes,type,@at,@linkcap,s0link_m_per_s
1,10215,70.00000029802322,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
1,10236,129.99999523162842,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
2,10420,111.7033064365387,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
2,10427,127.36451625823975,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
3,10274,59.99999865889549,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
4,10199,110.09466648101807,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
4,10477,109.00571197271347,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
5,10210,79.2926475405693,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
6,10156,109.99999940395355,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
6,10158,107.62021690607071,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
7,10157,50.00000074505806,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
7,10170,39.99999910593033,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
8,10145,50.00000074505806,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
8,10150,59.99999865889549,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
9,10194,50.00000074505806,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
10,10223,70.00000029802322,"[Mode(c), Mode(w)]",9.0,9,0.0,0.0,0.0
